source,target
Lil Wayne,Chance The Rapper
Lil Wayne,2 Chainz
Lil Wayne,Wiz Khalifa
Lil Wayne,Ty Dolla $ign
Lil Wayne,Logic
Lil Wayne,Nicki Minaj
Lil Wayne,Drake
Lil Wayne,Kanye West
Lil Wayne,Eminem
Lil Wayne,Tyga
Lil Wayne,Curren$y
Lil Wayne,DJ Khaled
Lil Wayne,Rick Ross
Lil Wayne,Future
Lil Wayne,YG
Lil Wayne,French Montana
Lil Wayne,Busta Rhymes
Lil Wayne,Juicy J
Lil Wayne,Big Sean
Lil Wayne,Jeezy
Lil Wayne,Juvenile
Lil Wayne,Mannie Fresh
Lil Wayne,Yo Gotti
Lil Wayne,T.I.
Lil Wayne,A$AP Rocky
Lil Wayne,Bun B
Lil Wayne,Rich Homie Quan
Lil Wayne,Meek Mill
Lil Wayne,Kendrick Lamar
Lil Wayne,Birdman
Lil Wayne,T-Pain
Lil Wayne,O.T. Genasis
Lil Wayne,DJ Mustard
Lil Wayne,The Game
Lil Wayne,Ace Hood
Lil Wayne,Lil Jon
Lil Wayne,Young Dolph
Lil Wayne,Young Thug
Lil Wayne,Gucci Mane
Lil Wayne,Ludacris
Lil Wayne,Nas
Lil Wayne,Snoop Dogg
Lil Wayne,Jay Rock
Lil Wayne,Fat Joe
Lil Wayne,OutKast
Lil Wayne,Q-Tip
Lil Wayne,Kurupt
Lil Wayne,Jim Jones
Lil Wayne,Waka Flocka Flame
Lil Wayne,Diddy
Lil Wayne,Nelly
Lil Wayne,Talib Kweli
Lil Wayne,Wale
Lil Wayne,Freeway
Lil Wayne,Pharrell Williams
Lil Wayne,E-40
Lil Wayne,Clipse
Lil Wayne,Raekwon
Lil Wayne,Scarface
Lil Wayne,The Roots
Lil Wayne,Cam'Ron
Kendrick Lamar,A$AP Rocky
Kendrick Lamar,Drake
Kendrick Lamar,2 Chainz
Kendrick Lamar,Jay Rock
Kendrick Lamar,The Game
Kendrick Lamar,Snoop Dogg
Kendrick Lamar,Lil Wayne
Kendrick Lamar,Future
Kendrick Lamar,T.I.
Kendrick Lamar,Eminem
Kendrick Lamar,Ty Dolla $ign
Kendrick Lamar,YG
Kendrick Lamar,50 Cent
Kendrick Lamar,Ice Cube
Kendrick Lamar,Bun B
Kendrick Lamar,Tyga
Kendrick Lamar,Wiz Khalifa
Kendrick Lamar,Wale
Kendrick Lamar,Meek Mill
Kendrick Lamar,Rick Ross
Kendrick Lamar,DJ Khaled
Kendrick Lamar,Common
Kendrick Lamar,Talib Kweli
Kendrick Lamar,Curren$y
Kendrick Lamar,Birdman
Kendrick Lamar,E-40
Kendrick Lamar,Ace Hood
Kendrick Lamar,Freeway
Ghostface Killah,Raekwon
Ghostface Killah,Method Man
Ghostface Killah,Cappadonna
Ghostface Killah,Kanye West
Ghostface Killah,GZA
Ghostface Killah,RZA
Ghostface Killah,Mobb Deep
Ghostface Killah,Redman
Ghostface Killah,Kool G Rap
Ghostface Killah,Rick Ross
