Name,City
Lil Wayne,New Orleans
Kendrick Lamar,Los Angeles
Ghostface Killah,New York
Lauryn Hill,
Andre 3000,Atlanta
Nas,New York
Rakim,New York
Eminem,Detroit
Jay-Z,New York
Notorious B.I.G.,New York
2Pac,Los Angeles
Outkast,Atlanta
A Tribe Called Quest,New York
Ice Cube,Los Angeles
LL Cool J,
De La Soul,New York
Kanye West,Chicago
Scarface,Houston
Common,Chicago
Beastie Boys,New York
Slick Rick,
EPMD,
Snoop Dogg,Los Angeles
Gang Starr,
Kool G Rap,New York
The Roots,Philadelphia
E40,Bay Area
Bone Thugs N Harmony,Cleveland
Mos Def,New York
Busta Rhymes,
Pete Rock,
T.I.,Atlanta
Raekwon,New York
GZA,New York
Redman,New York
Eazy-E,Los Angeles
Talib Kweli,New York
Lil Kim,
Ludacris,Atlanta
Little Brother,
Phonte,
Geto Boys,Houston
Cypress Hill,
B-Real,
DMX,
Mobb Deep,New York
The Pharcyde,Los Angeles
Missy Elliott,
Ice-T,
Lupe Fiasco,Chicago
Brand Nubian,
Arrested Development,Atlanta
50 Cent,New York
Eve,
Method Man,
Del the Funkee Homosapien,Bay Area
Jeezy,Atlanta
Big L,New York
Diddy,New York
MF Doom,
Chance The Rapper,Chicago
2 Chainz,Atlanta
Wiz Khalifa,Pittsburgh
Mac Miller,Pittsburgh
Logic,Washington
Ty Dolla $ign, Los Angeles
Nicki Minaj,International
Drake,Toronto
B.o.B.,Atlanta
Curren$y,New Orleans
DJ Khaled,Miami
Rick Ross,Miami
Future,Atlanta
French Montana,New York
Juicy J,Memphis
Juvenile,New Orleans
Mannie Fresh,New Orleans
Yo Gotti,
A$AP Rocky,New York
Big Sean,Detroit
Tyga,
Bun B,Houston
YG,Los Angeles
Rich Homie Quan,Atlanta
Meek Mill,Philadelphia
O.T. Genasis,
T-Pain,Tallahassee
DJ Mustard,
The Game,Los Angeles
Birdman,New Orleans
Young Dolph,
Wale,Washington
Inspectah Deck,New York
RZA,New York
Wu-Tang Clan,New York
Cappadonna,New York
Nelly,St Louis
Cam'Ron,New York
Ace Hood,
Lil Jon,Atlanta
Young Thug,Atlanta
Gucci Mane,Atlanta
Jay Rock,Los Angeles
Schoolboy Q,Los Angeles
Fat Joe,New York
OutKast,Atlanta
Kurupt,Los Angeles
Waka Flocka Flame,Atlanta
Freeway,Philadelphia
Pharrell Williams,Virginia Beach
E-40,Bay Area
Clipse,Virginia Beach
Vince Staples,Los Angeles
The Weeknd,Toronto
Q-Tip,New York
Jim Jones,New York
Earl Sweatshirt,Los Angeles
